
==============================================================
순번	국어	영어	수학	음악	국사	총점	평균
--------------------------------------------------------------

1	87	56	47	2	80	272	90.67
2	3	96	41	4	90	234	78.00
3	47	87	92	22	70	318	106.00
4	55	84	84	5	27	255	85.00
5	36	19	27	86	86	254	84.67
6	18	10	64	45	96	233	77.67
7	37	40	77	22	98	274	91.33
8	5	30	20	33	32	120	40.00
9	20	57	76	46	20	219	73.00
10	6	71	14	48	86	225	75.00
11	35	42	48	47	74	246	82.00
12	15	100	67	2	31	215	71.67
13	8	82	8	3	100	201	67.00
14	21	9	10	58	17	115	38.33
15	39	57	93	46	81	316	105.33
16	61	90	50	57	83	341	113.67
17	62	18	68	90	24	262	87.33
18	92	65	72	99	68	396	132.00
19	74	87	59	97	50	367	122.33
20	31	88	71	96	10	296	98.67
